trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
22,17:34:00,17:34:00,71,6,0,0,44.7223
22,17:44:00,17:44:00,28,7,0,0,51.6182
22,18:14:00,18:14:00,1,8,0,0,59.3167
23,17:52:00,17:52:00,10,1,0,0,0.0000
23,18:01:00,18:01:00,2,2,0,0,5.3294
23,18:12:00,18:12:00,39,3,0,0,15.8562
23,18:23:00,18:23:00,55,4,0,0,26.7282
23,18:41:00,18:41:00,9,5,0,0,38.6989
23,18:48:00,18:48:00,71,6,0,0,44.7223
23,18:59:00,18:59:00,28,7,0,0,51.6182
23,19:29:00,19:29:00,1,8,0,0,59.3167
24,19:44:00,19:44:00,10,1,0,0,0.0000
24,19:53:00,19:53:00,2,2,0,0,5.3294
24,20:04:00,20:04:00,39,3,0,0,15.8562
24,20:15:00,20:15:00,55,4,0,0,26.7282
24,20:32:00,20:32:00,9,5,0,0,38.6989
24,20:43:00,20:43:00,71,6,0,0,44.7223
24,20:53:00,20:53:00,28,7,0,0,51.6182
24,21:24:00,21:24:00,1,8,0,0,59.3167
25,21:46:00,21:46:00,10,1,0,0,0.0000
25,21:55:00,21:55:00,2,2,0,0,5.3294
25,22:06:00,22:06:00,39,3,0,0,15.8562
25,22:17:00,22:17:00,55,4,0,0,26.7282
25,22:30:00,22:30:00,9,5,0,0,38.6989
25,22:37:00,22:37:00,71,6,0,0,44.7223
25,22:48:00,22:48:00,28,7,0,0,51.6182
25,23:18:00,23:18:00,1,8,0,0,59.3167
26,24:43:00,24:43:00,10,1,0,0,0.0000
26,24:52:00,24:52:00,2,2,0,0,5.3294
26,25:02:00,25:02:00,39,3,0,0,15.8562
26,25:13:00,25:13:00,55,4,0,0,26.7282
26,25:27:00,25:27:00,9,5,0,0,38.6989
26,25:34:00,25:34:00,71,6,0,0,44.7223
26,25:45:00,25:45:00,28,7,0,0,51.6182
26,26:16:00,26:16:00,1,8,0,0,59.3167
27,05:41:00,05:41:00,1,1,0,0,0.0000
27,06:09:00,06:09:00,28,2,0,0,7.6985
27,06:20:00,06:20:00,71,3,0,0,14.5943
27,06:28:00,06:28:00,9,4,0,0,20.6178
27,06:41:00,06:41:00,55,5,0,0,32.5884
27,06:52:00,06:52:00,39,6,0,0,43.4604
27,07:06:00,07:06:00,2,7,0,0,53.9873
27,07:20:00,07:20:00,10,8,0,0,59.3167
28,06:25:00,06:25:00,1,1,0,0,0.0000
28,06:51:00,06:51:00,28,2,0,0,7.6985
28,07:02:00,07:02:00,71,3,0,0,14.5943
28,07:09:00,07:09:00,9,4,0,0,20.6178
28,07:27:00,07:27:00,55,5,0,0,32.5884
